Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Option1 Linked To;Option2 Name;Option2 Value;Option2 Linked To;Option3 Name;Option3 Value;Option3 Linked To;Variant SKU;Variant Grams;Variant Inventory Tracker;Variant Inventory Qty;Variant Inventory Policy;Variant Fulfillment Service;Variant Price;Variant Compare At Price;Variant Requires Shipping;Variant Taxable;Unit Price Total Measure;Unit Price Total Measure Unit;Unit Price Base Measure;Unit Price Base Measure Unit;Variant Barcode;Image Src;Image Position;Image Alt Text;Gift Card;SEO Title;SEO Description;Variant Image;Variant Weight Unit;Variant Tax Code;Cost per item;Status;Checkbox 1 (product.metafields.custom.checkbox_1);Checkbox 2 (product.metafields.custom.checkbox_2);Checkbox 3 (product.metafields.custom.checkbox_3)
2-in-1-smartwatch-earpods-copy;Montre connectée et écouteurs 2-en-1;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>Un accessoire, deux fonctions, une montre intelligente et des écouteurs combinés</strong></h2>
<h2 style=""text-align: center;""><br></h2>

<p>
<video class=""video-background"" loop muted autoplay playsinline style=""display:block;margin:auto;max-width:340px;max-height:340px;border-radius:10px;object-fit:contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/montre-connect%C3%A9e-et-%C3%A9couteurs-2-en-1-video.mp4""></video>
</p>

<p></p><p></p>

<!-- ICON 1 -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Montre%20connect%C3%A9e%20et%20%C3%A9couteurs%202-en-1/montre-connectee-et-ecouteurs-2-en-1-icon-1.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>CONCEPTION INNOVANTE PRATICITÉ</strong></div>
<div style=""text-align:center;"">Une smartwatch combinée à un étui pour écouteurs, alliant praticité et gain de place.</div>

<br>

<!-- ICON 2 -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Montre%20connect%C3%A9e%20et%20%C3%A9couteurs%202-en-1/montre-connectee-et-ecouteurs-2-en-1-icon-2.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>DIVERTISSEMENT ILLIMITÉ EN DÉPLACEMENT</strong></div>
<div style=""text-align:center;"">Écoutez de la musique, des podcasts et des livres audio à tout moment, où que vous soyez, avec facilité.</div>

<br>

<!-- ICON 3 -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Montre%20connect%C3%A9e%20et%20%C3%A9couteurs%202-en-1/montre-connectee-et-ecouteurs-2-en-1-icon-3.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>LE COMPAGNON PARFAIT POUR LE FITNESS</strong></div>
<div style=""text-align:center;"">Surveillez votre activité physique tout en profitant de vos morceaux motivants en streaming sans fil.</div>

<br>

<!-- ICON 4 -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Montre%20connect%C3%A9e%20et%20%C3%A9couteurs%202-en-1/montre-connectee-et-ecouteurs-2-en-1-icon-4.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>NE PERDEZ PLUS JAMAIS VOS ÉCOUTEURS</strong></div>
<div style=""text-align:center;"">Un rangement ingénieux directement sur votre poignet garantissant la sécurité de vos écouteurs.</div>

<br><br>

<!-- IMAGE 5 — 350px -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Montre%20connect%C3%A9e%20et%20%C3%A9couteurs%202-en-1/montre-connectee-et-ecouteurs-2-en-1-black.jpg"" width=""350"" height=""350"" style=""margin-bottom:16px;"">
</div>

<h2 style=""text-align:center;"">Le partenaire parfait pour les coureurs : Montre intelligente écouteurs 2-en-1</h2>
<p>Libérez votre potentiel avec la montre intelligente et ses écouteurs intégrés. Parfaite pour les coureurs, elle suit vos progrès tout en enrichissant vos aventures sur le tapis de course ou les sentiers avec vos morceaux ou livres audio préférés. Tellement facile et incroyablement pratique !</p>

<p></p><p></p>

<!-- IMAGE 6 — 350px -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Montre%20connect%C3%A9e%20et%20%C3%A9couteurs%202-en-1/montre-connectee-et-ecouteurs-2-en-1-fr-light-grey.jpg"" width=""350"" height=""350"" style=""margin-bottom:16px;"">
</div>

<h2 style=""text-align:center;"">Libérez un potentiel illimité avec la montre intelligente et ses écouteurs intégrés</h2>
<p>Découvrez le mélange parfait de praticité et de technologie avec notre montre intelligente et nos écouteurs 2-en-1 ! Perdez-vous dans vos morceaux, podcasts ou livres audio préférés.</p>
";OneScale;Uncategorized;;FR, Maison & confort;TRUE;Couleur;Noir;;;;;;;;;0.0;;0.0;deny;manual;49.99;99.99;TRUE;TRUE;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-gris-fonce-launchify-449673.jpg?v=1763635545;1;Montre connectée et écouteurs 2 - en - 1 - Gris foncé - Launchify;FALSE;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-noir-launchify-309208.jpg?v=1763635545;kg;;;active;Une montre intelligente et des écouteurs en un seul appareil;Connexion Bluetooth transparente;Parfait pour l'entraînement et les voyages
2-in-1-smartwatch-earpods-copy;;;;;;;;;Gris clair;;;;;;;;;0.0;;0.0;deny;manual;49.99;99.99;TRUE;TRUE;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-gris-clair-launchify-627992.jpg?v=1763635546;2;Montre connectée et écouteurs 2 - en - 1 - Gris clair - Launchify;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-gris-clair-launchify-627992.jpg?v=1763635546;kg;;;;Une montre intelligente et des écouteurs en un seul appareil;Connexion Bluetooth transparente;Parfait pour l'entraînement et les voyages
2-in-1-smartwatch-earpods-copy;;;;;;;;;Blanc;;;;;;;;;0.0;;0.0;deny;manual;49.99;99.99;TRUE;TRUE;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-blanc-launchify-800261.jpg?v=1763635545;3;Montre connectée et écouteurs 2 - en - 1 - Blanc - Launchify;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-blanc-launchify-800261.jpg?v=1763635545;kg;;;;Une montre intelligente et des écouteurs en un seul appareil;Connexion Bluetooth transparente;Parfait pour l'entraînement et les voyages
2-in-1-smartwatch-earpods-copy;;;;;;;;;Gris foncé;;;;;;;;;0.0;;0.0;deny;manual;49.99;99.99;TRUE;TRUE;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-noir-launchify-309208.jpg?v=1763635545;4;Montre connectée et écouteurs 2 - en - 1 - Noir - Launchify;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/montre-connectee-et-ecouteurs-2-en-1-fr-gris-fonce-launchify-449673.jpg?v=1763635545;kg;;;;Une montre intelligente et des écouteurs en un seul appareil;Connexion Bluetooth transparente;Parfait pour l'entraînement et les voyages
semelles-4d;Semelles 4D;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>Les Semelles Ultimes à Absorption de Chocs</strong></h2>
<h2 style=""text-align: center;""><br></h2>

<p>
<video style=""display:block;margin:auto;max-width:340px;max-height:340px;border-radius:10px;object-fit:contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/semelles-4d-video.mp4"" playsinline autoplay muted loop class=""video-background""></video>
</p>

<p> </p><p> </p>

<!-- ICON 1 -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Semelles%204D/semelles-4d-icon-1.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>Marchez sans douleur</strong></div>
<div style=""text-align:center;"">Spécialement conçues pour absorber les chocs, nos semelles éliminent tout inconfort lors de la marche.</div>

<!-- ICON 2 -->
<div style=""text-align:center;margin-top:22px;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Semelles%204D/semelles-4d-icon-2.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>Massage des pieds 24/7</strong></div>
<div style=""text-align:center;"">Un massage doux et constant directement depuis vos chaussures, pour une sensation de bien-être permanente.</div>

<!-- ICON 3 -->
<div style=""text-align:center;margin-top:22px;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Semelles%204D/semelles-4d-icon-3.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>Innovation pour le confort des pieds</strong></div>
<div style=""text-align:center;"">Notre technologie révolutionnaire 4D Cloud travaille sans relâche pour soulager vos douleurs aux pieds.</div>

<!-- ICON 4 -->
<div style=""text-align:center;margin-top:22px;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Semelles%204D/semelles-4d-icon-4.png"" width=""70"" height=""70"" style=""margin-bottom:16px;"">
</div>
<div style=""text-align:center;""><strong>Prenez soin de vos pieds chaque jour</strong></div>
<div style=""text-align:center;"">Avec nos semelles, chaque pas que vous faites est comme marcher sur un nuage, plein de confort.</div>

<p> </p><p> </p>

<!-- IMAGE 5 LARGE -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Semelles%204D/semelles-4d-how-to-use-2.jpg"" width=""350"" height=""350"" style=""margin-bottom:16px;"">
</div>

<h2 style=""text-align:center;"">Marchez dans le confort avec nos semelles innovantes à technologie 4D Cloud.</h2>
<p>Conçues avec expertise pour absorber les chocs et soulager les douleurs aux pieds. Offrant un massage et un soulagement tout au long de la journée, c'est une avancée révolutionnaire vers une marche sans douleur.</p>

<p> </p><p> </p>

<!-- IMAGE 6 LARGE -->
<div style=""text-align:center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Semelles%204D/semelles-4d-how-to-use.png"" width=""350"" height=""350"" style=""margin-bottom:16px;"">
</div>

<h2 style=""text-align:center;"">Technologie avancée 4D Cloud améliorez chaque pas</h2>
<p>Conçues pour ceux qui refusent de faire des compromis sur le confort, nos semelles offrent un soutien supérieur et un effet massant pour garder vos pieds pleins d'énergie. Que ce soit dans des chaussures de travail, des baskets ou des chaussures décontractées, ressentez la différence d'un amorti digne d'un nuage à chaque instant de la journée.</p>

<div style=""text-align:center;""><strong></strong></div>
";OneScale;Uncategorized;;FR, Maison & confort;TRUE;Title;Default Title;;;;;;;;;0.0;;0.0;deny;manual;29.99;;TRUE;TRUE;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/semelles-4d-fr-launchify-372966.jpg?v=1763635547;1;Semelles 4D - Launchify;FALSE;;;;kg;;;active;Absorption avancée des chocs;Massage des pieds 24/7;Soulagement instantané de la douleur
semelles-4d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/semelles-4d-fr-launchify-410831.png?v=1763635548;2;Semelles 4D - Launchify;;;;;;;;;Absorption avancée des chocs;Massage des pieds 24/7;Soulagement instantané de la douleur
semelles-4d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/semelles-4d-fr-launchify-869945.jpg?v=1763635547;3;Semelles 4D - Launchify;;;;;;;;;Absorption avancée des chocs;Massage des pieds 24/7;Soulagement instantané de la douleur
le-boucleur-5-en-1;Le boucleur 5-en-1;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>Le seul outil dont vous avez besoin pour des cheveux parfaits.</strong></h2>
<h2 style=""text-align: center;""><br></h2>

<p>
<video style=""display: block; margin: auto; max-width: 340px; max-height: 340px; border-radius: 10px; object-fit: contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/le-boucleur-5-en-1-video.mp4"" playsinline autoplay muted loop class=""video-background"">
</video>
</p>

<p> </p><p> </p>

<!-- ICON 1 — 70x70 -->
<div style=""text-align: center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Le%20boucleur%205-en-1/le-boucleur-5-en-1-icon-1.png"" width=""70"" height=""70"" style=""margin-bottom: 16px; float: none;"">
</div>
<div style=""text-align: center;""><strong>Séchage de cheveux ultra rapide</strong></div>
<div style=""text-align: center;"">Notre sèche-cheveux de pré-coiffage facilite le séchage de vos cheveux ! Fixez l’accessoire et séchez vos cheveux sans utiliser de températures pouvant les abîmer</div>

<div style=""text-align: center;""><br></div>

<!-- ICON 2 — 70x70 -->
<div style=""text-align: center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Le%20boucleur%205-en-1/le-boucleur-5-en-1-icon-2.png"" width=""70"" height=""70"" style=""margin-bottom: 16px; float: none;"">
</div>
<div style=""text-align: center;""><strong>Magnifiques boucles éclatantes</strong></div>
<div style=""text-align: center;"">Nos rouleaux à boucles imitent le soi-disant effet Coanda. L'effet Coanda garantit que vos cheveux obtiennent cet aspect volumineux à chaque fois !</div>

<div style=""text-align: center;""><br></div>

<!-- ICON 3 — 70x70 -->
<div style=""text-align: center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Le%20boucleur%205-en-1/le-boucleur-5-en-1-icon-3.png"" width=""70"" height=""70"" style=""margin-bottom: 16px; float: none;"">
</div>
<div style=""text-align: center;""><strong>Lisser les cheveux de manière saine</strong></div>
<div style=""text-align: center;"">La brosse lissante crée la coiffure que vous souhaitez. Combinée avec l'air chaud, elle laisse vos cheveux beaux, lisses et éclatants à chaque utilisation, sans les abîmer !</div>

<div style=""text-align: center;""><br></div>

<!-- ICON 4 — 70x70 -->
<div style=""text-align: center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Le%20boucleur%205-en-1/le-boucleur-5-en-1-icon-4.png"" width=""70"" height=""70"" style=""margin-bottom: 16px; float: none;"">
</div>
<div style=""text-align: center;""><strong>Cheveux Volumineux Étonnants</strong></div>
<div style=""text-align: center;"">La brosse volumisante donne de la forme aux cheveux en utilisant de l'air, tandis que les poils créent une tension pour modeler les cheveux lors du séchage, idéale pour les cheveux fins et plats.</div>

<div style=""text-align: center;""><br></div>

<!-- IMAGE 5 — 350x350 -->
<div style=""text-align: center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Le%20boucleur%205-en-1/le-boucleur-5-en-1-woman-1.jpg"" width=""350"" height=""350"" style=""margin-bottom: 16px; float: none;"">
</div>

<h2 style=""text-align: center;"">Un style, des possibilités infinies créez n'importe quel look en toute simplicité.</h2>
<p>Dites adieu aux multiples outils de coiffage encombrant votre espace ! Le Styler 5-en-1 vous permet de lisser, boucler, ajouter du volume et sécher vos cheveux avec un seul appareil. Grâce à ses embouts interchangeables, obtenir des coiffures dignes d’un salon chez vous n’a jamais été aussi simple.</p>

<p> </p><p> </p>

<!-- IMAGE 6 — 350x350 -->
<div style=""text-align: center;"">
  <img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Le%20boucleur%205-en-1/le-boucleur-5-en-1-woman-2.jpg"" width=""350"" height=""350"" style=""margin-bottom: 16px; float: none;"">
</div>

<h2 style=""text-align: center;"">Coiffure Saine Sans Chaleur Protégez Vos Cheveux Tout en Étant Éblouissante</h2>
<p>Les outils chauffants traditionnels peuvent causer des dommages et de la sécheresse, mais ce styler utilise une technologie à air pour coiffer sans exposition excessive à la chaleur. Que vous souhaitiez des mèches lisses ou des boucles volumineuses, profitez d'une brillance saine sans aucun dommage thermique à chaque utilisation.</p>
";OneScale;Uncategorized;;Beauté & soins, FR;TRUE;Title;Default Title;;;;;;;;;0.0;;0.0;deny;manual;59.99;;TRUE;TRUE;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/le-boucleur-5-en-1-beaute-soins-launchify-550926.jpg?v=1763635549;1;Le boucleur 5 - en - 1 - Launchify;FALSE;;;;kg;;;active;5 fonctions de style en 1;Des résultats dignes d'un salon chez vous.;Aucun dommage causé par la chaleur
le-boucleur-5-en-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/le-boucleur-5-en-1-beaute-soins-launchify-587922.jpg?v=1763635549;2;Le boucleur 5 - en - 1 - Launchify;;;;;;;;;5 fonctions de style en 1;Des résultats dignes d'un salon chez vous.;Aucun dommage causé par la chaleur
le-boucleur-5-en-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0985/9009/7745/files/le-boucleur-5-en-1-beaute-soins-launchify-615114.jpg?v=1763635549;3;Le boucleur 5 - en - 1 - Launchify;;;;;;;;;5 fonctions de style en 1;Des résultats dignes d'un salon chez vous.;Aucun dommage causé par la chaleur
